"AOI Name","total number of fixations","sum of all fixation duration","mean fixation duration (s)","median fixation duration (s)"," StDev of fixation durations (s)","Min. fixation duration (s)","Max. fixation duration (s)","total number of saccades","sum of all saccade length","mean saccade length","median saccade length","StDev of saccade lengths","min saccade length","max saccade length","sum of all saccade durations (s)","mean saccade duration (s)","median saccade duration (s)","StDev of saccade durations (s)","Min. saccade duration (s)","Max. saccade duration (s)","scanpath duration","fixation to saccade ratio","sum of all absolute degrees","mean absolute degree","median absolute degree","StDev of absolute degrees","min absolute degree","max absolute degree","sum of all relative degrees","mean relative degree","median relative degree","StDev of relative degrees","min relative degree","max relative degree","convex hull area","Average Peak Saccade Velocity","Average Blink Rate per Minute"
"Airspeed","78","43.460330000000006","0.557183717948718","0.421875","0.4509424962019021","0.1698","3.16626","11","401.4371700616815","36.49428818742559","30.72169129719245","28.26222452997008","10.848929230112837","107.13656183320434","1.9858400000000458","0.18053090909091327","0.0120900000000006","0.2892266073325489","0.008420000000000982","0.6485600000000034","45.446170000000045","21.885111590057104","3697.3685755635315","48.01777370861729","49.95617060389938","26.159419242048685","0.9197726230645841","88.61515558630332","6365.655865611775","83.75862981068126","86.19071808048867","41.464135224443304","9.679994182995955","166.0614946163884","19927.988582399994","277.2899979097443","10.487915299596018"
"MSL Altitude","45","14.531519999999992","0.32292266666666647","0.33704","0.11254555892453671","0.05298","0.63074","15","833.6301651220432","55.575344341469545","58.41629000338863","33.43763203584752","19.203187535406816","129.65248924289887","0.7346299999998678","0.04897533333332452","0.012200000000007094","0.14375280945660576","0.008179999999981646","0.568489999999997","15.266149999999863","19.780733158192028","2186.5612955663237","49.69457489923463","52.12854261794566","31.5622656785531","0.43235234322915406","89.98470812773458","3464.9356433576922","80.57989868273702","76.9837394215575","48.60751182499208","5.171857661191467","170.17872559605306","25924.06280448014","259.34266796754844","9.452905232261815"
"Heading","59","31.324699999999993","0.5309271186440677","0.47961","0.30238926557445467","0.17383","2.11829","3","192.3899899404451","64.12999664681503","62.06845822734773","6.253021336861837","59.16803523119562","71.15349648190175","0.03735000000000355","0.012450000000001182","0.009399999999999409","0.005500681775923485","0.00915000000000532","0.018799999999998818","31.362050000000004","838.6800535474438","3086.4385143551476","53.21445714405427","61.483161386955466","27.30444591045338","2.2658682337547216","90.0","4267.652164568321","74.87109060646176","72.77368452738546","41.043587811137684","9.509680911993726","167.21592621294852","12748.805706239946","242.6779837893849","5.315551828106889"
"Horizontal Altitude","107","55.519320000000015","0.5188721495327104","0.40369","0.3829313439006558","0.13916","2.20886","14","979.0314776089591","69.93081982921136","63.85670126014787","44.075831527075856","17.79603884014643","175.49804738606056","0.609769999999898","0.04355499999999272","0.011354999999980464","0.12407613684595453","0.004889999999988959","0.47449000000000296","56.12908999999989","91.049608868933","5660.869742212672","53.40443153030822","52.232318754963","26.96956459233356","1.1925398460852201","89.89282225987472","7695.5277011111575","73.29074001058245","72.20442951756687","42.35202098196206","0.6159915254996378","165.11576590463602","27891.564364800113","268.25200857063896","5.00463011696323"
"Vertical Speed","16","5.794789999999999","0.36217437499999994","0.28051499999999996","0.25935629158794277","0.15637","1.11926","3","292.4860481242528","97.49534937475094","72.29439975655104","46.357083407855505","69.19761779483444","150.99403057286733","0.03808999999998264","0.01269666666666088","0.015129999999970778","0.006576757052917332","0.0052500000000179625","0.017709999999993897","5.832879999999982","152.13415594651195","497.60469302515","33.17364620167667","20.859108262964575","24.2170923764848","6.758247916243292","74.59981827794265","1640.0000538062425","117.14286098616017","120.59524160293827","38.598081449606404","45.99821030737925","165.53125777597103","14472.863308799919","202.7045094559949","14.399521935871594"
"Turn Coordinator","11","2.62694","0.23881272727272726","0.2135","0.09536197817693477","0.06372","0.40515","2","122.81076306192833","61.40538153096416","61.40538153096416","8.729243449087958","55.23287429348582","67.5778887684425","0.013919999999941979","0.006959999999970989","0.006959999999970989","0.001555634918571609","0.005859999999998422","0.008059999999943557","2.640859999999942","188.7169540237751","357.63376904828084","35.763376904828085","20.927076455735026","31.34069224880065","1.7287548724485897","88.90065282304856","1000.6925095956911","111.18805662174346","109.13363086422437","44.072474836882996","33.39515480665936","161.57951762432856","8560.672634879942","228.93677174997563","20.197497866639516"
"Outside","121","48.502840000000006","0.40084991735537195","0.35474","0.23656639443116131","0.06006","1.43701","71","7707.156054147146","108.55149372038234","91.91776259156872","110.10653500285977","1.3106818378233478","673.0545850573488","4.550019999999961","0.06408478873239382","0.009640000000000981","0.21574377968758096","0.002569999999998629","1.3145800000000065","53.05285999999997","10.659917978382605","3325.494044936583","27.712450374471526","17.728677245180357","25.40750822784967","0.37531825062272794","87.76457865918069","14776.833666154049","124.17507282482394","125.45601927716147","35.8250188919317","32.75031608592697","176.02949554458698","788528.9619878399","282.3028915747925","5.133770787646334"
