"AOI name","Proportion of fixations spent in AOI","Proportion of fixations durations spent in AOI"
"Airspeed","0.1425959780621572","0.17963245478326698"
"MSL Altitude","0.08226691042047532","0.06006242035741877"
"Heading","0.10786106032906764","0.12947284929381347"
"Horizontal Altitude","0.1956124314442413","0.22947528791193555"
"Vertical Speed","0.029250457038391225","0.02395132187568588"
"Turn Coordinator","0.02010968921389397","0.010857802524011098"
"Outside","0.22120658135283364","0.20047441455598777"
